Mouse Necropsy information sheet,...2,...3,...4
Initials,ZL,,
Today's Date,3/15/2021 (og necropsy sheet got overriden),,
Mouse ID,25642,,
Disposition,T1: middle of back/neck,,
Disposition,Reason for sac: Tumor Size,,
Disposition,,,
Disposition,,,
Treatment,BRAFi + MEKi,,
Sex,Male,`,
Strain,All Alleles,,
BD,44177,,
Sac Date,44253,,
Age at Sac,76,,
Injection Date,44544,,
Virus 1,RCAS myrAkt1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,44246,,
Dox Tx?,,,
Drug treatment,BRAFi + MEKi,,
Genotype,All Alleles,,
Tissue collected,"T1, B, L",,
Zinc fixed?,No,,
Formalin fixed?,"T1, B, L",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Skull intact, brain normal.",,
,Organs normal,,
,"T1 sample taken for cell line, cryogenic sample",,
,Blood sample taken,,
