Mouse Necropsy information sheet,...2,...3,...4
Initials,RE,,
Today's Date,44229,,
Mouse ID,28897-00,,
Disposition,Lethargic,,
Disposition,Bump on the head,,
Disposition,Skinny,,
Disposition,,,
Treatment,,,
Sex,M,`,
Strain,DCT-TVA::Ptenf/f;Brafca/ca,,
BD,44550,,
Sac Date,44594,,
Age at Sac,44,,
Injection Date,44553,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (12/23/21 GP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Not a primary tumor,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Brafca/ca,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Brain was abnormally large and soft. Small amout of liquid surrounded the brain. Lungs were small. Possible hydrocephaly.,,
