Mouse Necropsy information sheet,...2
Initials,SS
Today's Date,42643
Mouse ID,11710
Disposition,"Large tumor on side, lethargic disposition"
Sex,F
Strain,DCT-TVA; Braf; All alleles
BD,42595
Sac Date,42643
Age at Sac,37
RCAS injection?,Yes
Injection route,Ear buds
Injection Date,42597
Virus 1,myr FLAG Akt 2PL/1KR
Virus 2,Cre
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,
Tissue collected,"Tumor, Brain, Lungs, Heart, Liver, L and R Kidneys"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Had popcorn lung phenotype, lungs barely visible amidst nodules."
,Skull intact
