Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,43175,,
Mouse ID,17819,,
Disposition,Sac -- tumor size,,
Sex,Male,,
Strain,All Alleles,,
BD,43129,,
Sac Date,43175,,
Age at Sac,46,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,43129,,
Virus 1,RCAS Myr-HA-Akt1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,43158,,
Dox Tx?,No,,
Duration of Dox Tx,,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Tumors, brain, lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Tumor, brain, lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Sac -- tumor size,,
,Skull was intact,,
,Organs appeared normal,,
,Cryos taken for T1,,
,IACS-10759 treated,,
