Mouse Necropsy information sheet,...2,...3,...4
Initials,MS,,
Today's Date,42811,,
Mouse ID,13955,,
Disposition,"1 large& small primary tumors present.  One on neck, one above left eye.  Mouse very active and groomed.",,
Sex,Male,,
Strain,All alleles,,
BD,42764,,
Sac Date,42811,,
Age at Sac,47,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42764,,
Virus 1,RCAS HA-Yb1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42801,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Lungs, brain, heart, kidney, spleen, primary tumors",,
,,,
Formalin fixed?,Y,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Cell line started, two chunks of primary tumors cryopreserved.",,
,,,
