Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43200
Mouse ID,NSG 00210
Disposition,Sac'd due to ungroomed appearance. T1 - base of tail
Sex,Female
Strain,NSG
BD,43129
Sac Date,43200
Age at Sac,71
RCAS injection?,No
Injection route,Tail vein
Injection Date,43168
Virus 1,5610 (Tail vein)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (1)
Date Tumor reported,43199
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,"Brain, lungs, tumor"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Sac'd due to ungroomed appearance. T1 - base of tail
,Brain and skull in tact.
,Lung nodules present in chest cavity - parietal tumor
,Organs appeared normal
,Tumor at base of tumor not collected
