Mouse Necropsy information sheet,...2
Initials,SH
Today's Date,42625
Mouse ID,11608-30
Disposition,Sick/Hunched posture
Sex,M
Strain,N-TVA;Ink4a/Arf-f/f
BD,42586
Sac Date,42625
Age at Sac,4 weeks
RCAS injection?,TRE3-BRAF and TetOff and Cre
Injection route,Intercranial
Injection Date,42588
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,severe hydrocephalus
