Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42587,,
Mouse ID,10932,,
Disposition,"Tired/lethargic behavior; T1- huge, right scapula; T2- R neck/head; T3- left spine/mid back; T4- small, base of tail",,
Sex,Female,,
Strain,All Alleles,,
BD,42538,,
Sac Date,42587,,
Age at Sac,49,,
RCAN injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42540,,
Virus 1,RCAS HA-Akt2 E17K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (4),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, spleen, liver, kidneys, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Tired/lethargic behavior; T1- huge, right scapula; T2- R neck/head; T3- left spine/mid back; T4- small, base of tail",,
,Skull intact,,
,"All organs appeared normal except for lungs, which showed presence of few small lung nodules.",,
,"T1- 3 cryos, 1 cell line; T2- 1 cryo, 1 cell line; T3- 1 cryo, 1 cell line; T4- no cryo, no cell line",,
