Mouse Necropsy information sheet,...2
Initials,SH
Today's Date,42634
Mouse ID,11672-00
Disposition,Sick/ hunched posture
Sex,F
Strain,N-TVA; pten f/f
BD,42592
Sac Date,42634
Age at Sac,6 weeks
RCAS injection?,Yes
Injection route,Intercranial
Injection Date,42594
Virus 1,TRE3-BRAF and TetOff and Cre
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,
Date Tumor reported,42629
Dox Tx?,
Duration of Dox Tx,
Genotype,
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Severe hydrocephalus as well as under developed cortex
