Mouse Necropsy information sheet,...2
Initials,SH
Today's Date,42648
Mouse ID,09163-00
Disposition,Labored breathing
Sex,M
Strain,N-TVA;Ink4a/Arf-f/f
BD,42345
Sac Date,42648
Age at Sac,10 Months
RCAS injection?,Yes
Injection route,Intercranial
Injection Date,42346
Virus 1,TRE2-HB-EGF(cs) and TetOff and Cre
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42366
Dox Tx?,Yes
Duration of Dox Tx,
Genotype,N-TVA;Ink4a/Arf-f/f
Tissue collected,"Brain, Heart, lung"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Large hard nodule attached to heart and lung complex. Animal was extremely overweight. Evidence of excessive urination in cage.
