Mouse Necropsy information sheet,...2,...3,...4
Initials,JP,,
Today's Date,44713,,
Mouse ID,28826-30,,
Disposition,,,
Disposition,Sacked for end date,,
Treatment,,,
Sex,Female,,
Strain,DCT-TVA::Brafca/ca;Tyr/Tyr,,
BD,44542,`,
Sac Date,44713,,
Age at Sac,171,,
Injection Date,44544,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,DCT-TVA::Brafca/ca;Tyr/Tyr,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"healthy brain, lungs, and liver; blood clots in thoracic cavity",,
,,,
,,,
