Mouse Necropsy information sheet,...2
Initials,MS
Today's Date,43231
Mouse ID,NSG 00274
Disposition,Sac'd due to tumor size
Sex,Male
Strain,NSG
BD,43161
Sac Date,43231
Age at Sac,70
RCAS injection?,No
Injection route,Subcutaneous injection
Injection Date,43164
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,43195
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Primary tumor
Zinc fixed?,No
Formalin fixed?,Primary tumor
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Sac'd due to tumor size
,Brain and skull intact
,Organs appeared normal
,No lung nodules noted
,2054 RSU-/- 1x10^6 injected on R flank.
