Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,42541,,
Mouse ID,10231,,
Disposition,Normal disposition; T1--located on right ear. T2--right flank.,,
Sex,Male,,
Strain,All Alleles,,
BD,42484,,
Sac Date,42541,,
Age at Sac,57,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42485,,
Virus 1,RCAS HA-Akt3 E40K,,
Virus 2,Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,42522,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Normal disposition; T1--located on right ear. T2--right flank.,,
,Skull intact,,
,All organs appeared normal.,,
,3 cryogenics attempted per tumor; 1 cell line attempted per tumor.,,
