Mouse Necropsy information sheet,...2
Initials,G. I. P.
Today's Date,43705
Mouse ID,20847
Disposition,"Dome head, but still alert.  Sac'ed for experimental end point."
Sex,Male
Strain,NTVA; p10 f/f; Ink f/f
BD,43670
Sac Date,43705
Age at Sac,>1 month
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43672
Virus 1,HBEGF
Virus 2,CRE
Virus 3,
Virus 4,
Evidence of tumor?,Yes in both Dome Head and in MRI
Date Tumor reported,MRI 8/22/19
Dox Tx?,NO
Duration of Dox Tx,N/A
Genotype,N/A
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
