Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,CMM,,,,,,,,
Today's Date,45005,,,,,,,,
Mouse ID,32260-10,,,,,,,,
Disposition,Large tumor behind and above right shoulder blade. Scruffy and losing weight.,,,,,,,,
Sex,Female,,,,,,,,
Strain,GFP,,,,,,,,
BD,44849,,,,,,,,
Sac Date,45005,,,,,,,,
Age at Sac,156,,,,,,,,
RCAS injection?,No,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,44907,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,GFP,,,,,,,,
Tissue collected,,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"Tumor got too large. Tumor, Brain, Lung, and Liver were collected. A cell line is attempting to be made from this tumor. Treated with Binimetinib (25mg/kg)+Encorafenib(20mg/kg)",,,,,,,,
