Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42660,,
Mouse ID,11788,,
Disposition,Tumor on top of skull next to left eye. Bleeding out of ear.,,
Sex,Male,,
Strain,Pten WT,,
BD,42601,,
Sac Date,42695,,
Age at Sac,94,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42601,,
Virus 1,RCAS hLSD1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42683,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf; Pten wt,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,One kidney found upon necropsy. Possibly enlarged thyroid.,,
,Cell line attempted and 2 tumor cryovials frozen down,,
,"Despite tumor, skull intact. Possible blood in brain.",,
