Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42954,,
Mouse ID,15918,,
Disposition,"Large primary tumor on top of head and on back of neck, wrapped around left arm onto front of ribcage. Appeared slightly lethargic, may have been from extensive tumor burden.",,
Sex,Male,,
Strain,All alleles,,
BD,42908,,
Sac Date,42954,,
Age at Sac,46,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42909,,
Virus 1,RCAS HA mTG2,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42940,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Skull intact,,
,Brown nodule present on one of lungs,,
,Tumor chunks frozen and cell line attempted.,,
