Mouse Necropsy information sheet,...2,...3,...4
Initials,JP,,
Today's Date,44656,,
Mouse ID,29499,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA::Ptenf/f;Inkf/f,,
BD,44607,,
Sac Date,44656,,
Age at Sac,49,,
Injection Date,44608,,
Virus 1,RCAS Cre + RCAS proHBEGF (02/16/22 KC & JP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Y,,
Date Tumor reported,44649,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Ptenf/f;Inkf/f,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,Brain,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"sac'd for not moving/lethargic, nothing abnormal in necropsy, normal sized brain, normal consistency, jumpy when sac'd, lots of blood in skull",,
