Mouse Necropsy information sheet,...2,...3,...4
Initials,KB,,
Today's Date,42814,,
Mouse ID,13934-03,,
Disposition,"hunched, hypoactive",,
Sex,F,,
Strain,N-TVA; pten f/f; Ink4a f/f;,,
BD,42763,,
Sac Date,42814,,
Age at Sac,51,,
RCAS injection?,Yes,,
Injection route,Intracranial,,
Injection Date,42765,,
Virus 1,RCAS Cre,,
Virus 2,RCAS HBEGF,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42801,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Ntva; Pten f/f; Ink f/f,,
Tissue collected,brain,,
4% PFA transcardial perfusion,yes,,
Formalin fixed?,,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,,,
,,,
