Mouse Necropsy information sheet,...2,...3,...4
Initials,YN,,
Today's Date,42841,,
Mouse ID,14151,,
Disposition,Normal; small ulcerated tumor located on top of head,,
Sex,Male,,
Strain,All alleles,,
BD,42777,,
Sac Date,42842,,
Age at Sac,65,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42779,,
Virus 1,RCAS myrFLAG AKT 1PL/2KR,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,42830,,
Date Tumor reported,N/A,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,,,
,"Small, ulcerated tumor on top of head",,
,Heart and Lungs looked fairly healthy upon visual inspection,,
,"Skull was in tact, although it did have a lot of blood when skull was cut into",,
,1 Cryogenic tumor sample was frozen,,
