Mouse Necropsy information sheet,...2
Initials,SA
Today's Date,42839
Mouse ID,14354
Disposition,"hunched, lethargic, not grooming, domed head"
Sex,Male
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42793
Sac Date,42839
Age at Sac,46
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42794
Virus 1,TRE3-BRAF
Virus 2,Cre
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,hydrocephaly
