Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,42682,,
Mouse ID,11269,,
Disposition,"Ulcerated tumors; T1-right side sub-axillary; T2-mid back, left side",,
Sex,Female,,
Strain,Braf het,,
BD,42559,,
Sac Date,42682,,
Age at Sac,123,,
RCAN injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42562,,
Virus 1,RCAN HA-Akt1 E17K,,
Virus 2,RCAS Tet-Off-IRES-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,42660,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf het; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumors",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Ulcerated tumors; T1-right side sub-axillary; T2-mid back, left side",,
,Skull intact,,
,Brain intact,,
,Normal disposition,,
,All other organs were normal.,,
,"2 cryos, 1 cell line attempted for tumor 1; 1 cryo, 1 cell line attempted for tumor 2",,
