Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42622
Mouse ID,10076
Disposition,Exp end point
Sex,Female
Strain,Nestin-TVA;Atrx;Pten f/f
BD,42468
Sac Date,42621
Age at Sac,153
RCAS injection?,Yes
Injection route,IC
Injection Date,42468
Virus 1,P53IRES Cre
Virus 2,PDGFA
Virus 3,IDHR132H
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA;ATRX f/f; Pten f/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
