Mouse Necropsy information sheet,...2,...3,...4
Initials,AW,,
Today's Date,42748,,
Mouse ID,13084,,
Disposition,poor health,,
Sex,male,,
Strain,Nestin-TVA;pten f/f;Ink4a f/f,,
BD,42705,,
Sac Date,42747,,
Age at Sac,42,,
RCAS injection?,Yes,,
Injection route,intercranial,,
Injection Date,42707,,
Virus 1,IDHR132H,,
Virus 2,Cre,,
Virus 3,PDGFA,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,42744,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; Ink4a f/f; Pten f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,vascularization under skull,,
,large necrotic mass on underside of brain,,
