Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,43913,,
Mouse ID,00559-01,,
Disposition,,,
Disposition,Sacked for endpoint of experiment,,
Treatment,,,
Sex,Female,,
Strain,NSG,,
BD,43702,`,
Sac Date,43913,,
Age at Sac,211,,
Injection Date,43706,,
Virus 1,"476-5131 (neurosphere xenograft, not virus)",,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,NSG,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,Brain,,
Parafin Block #'s,HCI-19-00558-00,,
,,,
Slide #'s,,,
H&E?,Yes,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,Brain appears normal upon necropsy,,
,,,
,,,
