Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,44848,,,,,,,,
Mouse ID,30541-10,,,,,,,,
Disposition,Sacked for end date,,,,,,,,
Sex,Male,,,,,,,,
Strain,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,
BD,44714,,,,,,,,
Sac Date,44846,,,,,,,,
Age at Sac,132,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Intracranial,,,,,,,,
Injection Date,44716,,,,,,,,
Virus 1,RCAS-CRE+IDH1R132H+PDGFA (06/04/22 AG),,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,
Tissue collected,Brain,,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,Skull and brain appeared normal,,,,,,,,
