Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43206
Mouse ID,NSG 00215
Disposition,Sac'd due to breathing issues. T1 - base of tail; T2 - liver tumor and what appeared to be a tumor in the pelvis near gonads
Sex,Male
Strain,NSG
BD,43129
Sac Date,43206
Age at Sac,77
RCAS injection?,No
Injection route,Tail vein
Injection Date,43173
Virus 1,5610 (Tail vein)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (3)
Date Tumor reported,43199
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,"Brain, lungs, tumor"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Sac'd due to breathing issues. T1 - base of tail; T2 - liver tumor and what appeared to be a tumor in the pelvis near gonads
,Brain and skull in tact.
,Lung nodules present in chest cavity - and in the surrounding parietal pleura.
,Tumor at base of tail not collected
,Liver tumor and tumor in pelvis collected and fixed in same conical. There shouldn't be a problem distinguishing which tumor is which when grossing.
