Mouse Necropsy information sheet,...2,...3
Initials,GP,
Today's Date,42832,
Mouse ID,NSG00050-01,
Disposition,Sac'd due to lethargic disposition (as reported by mouse technician) but appeared very active at time of sac; domed head; slightly ungroomed.,
Sex,Male,
Strain,NSG,
BD,42800,
Sac Date,42832,
Age at Sac,32,
RCAS injection?,Yes,
Injection route,intracranial,
Injection Date,42802,
Virus 1,7788 (Cell Line),
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,Yes,
Date Tumor reported,42830,
Dox Tx?,No,
Duration of Dox Tx,NA,
Genotype,NSG,
Tissue collected,Brain,
Zinc fixed?,Yes,Only in zinc fixative for 24 hours.
Formalin fixed?,No,
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Additional comments,Sac'd due to lethargic disposition (as reported by mouse technician) but appeared very active at time of sac; domed head; slightly ungroomed.,
,Skull was very soft.,
,Tumor tissue visible on top and bottom of skull.,
,Brain had disintegrated and was not able to be isolated in tact.,
