Mouse Necropsy information sheet,...2,...3,...4
Initials,ND,,
Today's Date,43231,,
Mouse ID,18235,,
Disposition,Sac'd due to tumor size; T1 - right scapula and midback,,
Sex,Female,,
Strain,All Alleles,,
BD,43176,,
Sac Date,43231,,
Age at Sac,55,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,43178,,
Virus 1,RCAS Myr-HA-Akt1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,43220,,
Dox Tx?,No,,
Duration of Dox Tx,,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Tumor, brain, lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Tumor, brain, lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes one nodule noted,,
Additional comments,Sac'd due to tumor size; T1 - right scapula and midback,,
,Skull intact,,
,Organs appeared normal,,
,T1 - 3 cryos and 1 cell line attempted,,
