Mouse Necropsy information sheet,...2,...3,...4
Initials,RF/KC,,
Today's Date,44351,,
Mouse ID,25575,,
Disposition,Experimental Enddate,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA:BrafCa/Ca;Tyr/+,,
BD,44171,,
Sac Date,44351,,
Age at Sac,180,,
Injection Date,44537,,
Virus 1,RCAS HA-PIK3CA-H1047R + Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA:BrafCa/Ca;Tyr/+,,
Tissue collected,"Brain, Lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Experimental enddate,,
,Many lung nodules,,
