Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,45031,,,,,,,,
Mouse ID,33997-01,,,,,,,,
Disposition,"Not moving, weight loss, labored breathing, no evidence of primary tumor",,,,,,,,
Sex,Male,,,,,,,,
Strain,All Alleles,,,,,,,,
BD,44991,,,,,,,,
Sac Date,45031,,,,,,,,
Age at Sac,40,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Subcutaneous behind ear,,,,,,,,
Injection Date,44993,,,,,,,,
Virus 1,DF-1 RCAS Cre,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,,,,,,,
Tissue collected,,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"No primary tumor seen, brain and liver appeared normal, large lung nodules and masses",,,,,,,,
