Mouse Necropsy information sheet,...2,...3,...4
Initials,AW,,
Today's Date,42662,,
Mouse ID,11876,,
Disposition,"Normal disposition, domed head",,
Sex,female,,
Strain,Nestin-TVA; ATRX flox/+; Ink4a f/f; Pten f/f,,
BD,42608,,
Sac Date,42629,,
Age at Sac,21,,
RCAN injection?,Yes,,
Injection route,intercranial,,
Injection Date,42610,,
Virus 1,LV:NF1,,
Virus 2,RCAS-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; ATRX flox/+; Ink4a f/f; Pten f/f,,
Tissue collected,Brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,hydrocephaly,,
,,,
