Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,45029,,,,,,,,
Mouse ID,34028-00,,,,,,,,
Disposition,Sac'd for tumor size,,,,,,,,
Sex,Females,,,,,,,,
Strain,All Alleles + Cas9f/f,,,,,,,,
BD,44994,,,,,,,,
Sac Date,45029,,,,,,,,
Age at Sac,35,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Subcutaneous behind ear,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,RCAS Cre KC 3/10/23,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,45019,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca;Cas9f/f,,,,,,,,
Tissue collected,,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"Tumor was growing outside of skull but surrounded skull, brain, lungs, liver appeared normal upon necropsy, some tumor collected if RPPA needs to be done",,,,,,,,
