Mouse Necropsy information sheet,...2,...3
Initials,KT,
Today's Date,42829,
Mouse ID,NSG00051,
Disposition,Normal activity level; slightly ungroomed; sac'd due to eye issues,
Sex,Male,
Strain,NSG,
BD,42800,
Sac Date,42829,
Age at Sac,29,
RCAS injection?,Yes,
Injection route,intracranial,NOTE:
Injection Date,42808,ORIGINAL FILE ENTERED BY KT STATED THAT THIS WAS MOUSE 00062
Virus 1,7788 (Cell Line),00051 WAS THE ACTUAL MOUSE SAC'D PER STEPHANIE ANGEL
Virus 2,,GP ATTRIBUTED INCORRECT MOUSE # TO SAC'D MOUSE WHEN BROUGHT UP (4/4/17)
Virus 3,,DK MODIFIED MOUSE # AND CELL LINE INJECTED TO REFLECT CHANGE (4/24/17)
Virus 4,,
Evidence of tumor?,No,
Date Tumor reported,,
Dox Tx?,No,
Duration of Dox Tx,NA,
Genotype,NSG,
Tissue collected,Brain,
,,
Formalin fixed?,Yes,
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Additional comments,Skull and brain were intact; skull seemed slightly soft but could've been due to age; brain looked normal.,
