Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42345
Mouse ID,8684
Disposition,Sick
Sex,Female
Strain,Nestin-TVA; ATRX flox/flox;inkf/f
BD,42282
Sac Date,42345
Age at Sac,63
RCAS injection?,Yes
Injection route,IC
Injection Date,42282
Virus 1,CRE
Virus 2,MIDHR132H
Virus 3,PDGFA
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42345
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox;inkf/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,Animal was sick and lethargic with a hunched back.Upon
,"necropsy,no mophophological defect was noted."
