Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KS,,,,,,,,
Today's Date,44986,,,,,,,,
Mouse ID,33442-01,,,,,,,,
Disposition,"Found dead, but no evidence of distress",,,,,,,,
Sex,Female,,,,,,,,
Strain,All Alleles,,,,,,,,
BD,44943,,,,,,,,
Sac Date,44986,,,,,,,,
Age at Sac,43,,,,,,,,
RCAS injection?,RCAS-Cre + RCAS-myrAKT1,,,,,,,,
Injection route,SubQ behind ear,,,,,,,,
Injection Date,44945,,,,,,,,
Virus 1,RCAS-Cre + RCAS-myrAKT1,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,TVA-,,,,,,,,
Tissue collected,,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"no evidence of distress, negative control?",,,,,,,,
