Mouse Necropsy information sheet,...2,...3,...4
Initials,MS,,
Today's Date,42828,,
Mouse ID,14047,,
Disposition,"Small, pea-size tumor on back of head.  Mouse was found dead.",,
Sex,Female,,
Strain,Braf wt,,
BD,42769,,
Sac Date,42828,,
Age at Sac,59,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42769,,
Virus 1,RCAS HA-Nras Q61R ires Cre,,
Virus 2,RCAS myrFLAG AKT1,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42810,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; ink/arf f/f; pten f/f,,
Tissue collected,"None, mouse was in rigor mortis and thoracic cavity was full of blood.",,
,,,
Formalin fixed?,No,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Skull intact, no organs able to be preserved.  Cause of death = unknown.",,
,,,
