Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,CMM,,,,,,,,
Today's Date,45020,,,,,,,,
Mouse ID,33526-03,,,,,,,,
Disposition,"Tumor growth exceeded 2,000 mm^3",,,,,,,,
Sex,Female,,,,,,,,
Strain,GFP,,,,,,,,
BD,44949,,,,,,,,
Sac Date,45019,,,,,,,,
Age at Sac,70,,,,,,,,
RCAS injection?,No,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,45003,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,GFP,,,,,,,,
Tissue collected,,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,This mouse was sac'd because it reached an experimental endpoint.,,,,,,,,
