Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,CMM,,,,,,,,
Today's Date,45005,,,,,,,,
Mouse ID,32200-01,,,,,,,,
Disposition,Scruffy. Not moving. Hunched. Breathing hard. Tumor invading over skull towards eyes.,,,,,,,,
Sex,Female,,,,,,,,
Strain,GFP,,,,,,,,
BD,44846,,,,,,,,
Sac Date,45005,,,,,,,,
Age at Sac,159,,,,,,,,
RCAS injection?,No,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,44907,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,GFP,,,,,,,,
Tissue collected,,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,This mouse was extremely sick. Tumor was found to have invaded the brain through the back of the skull. This mouse was treated with Paxalisib(10mg/kg)+Binimetinib(25mg/kg)+Encorafenib(20mg/kg).,,,,,,,,
