Mouse Necropsy information sheet,...2,...3,...4
Initials,YN,,
Today's Date,42802,,
Mouse ID,14149,,
Disposition,Found dead; slightly smaller--probably just barely weaned from mother,,
Sex,Female,,
Strain,All alleles,,
BD,42777,,
Sac Date,42802,,
Age at Sac,25,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42779,,
Virus 1,RCAS myrFLAG AKT 1PL/2KR,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42776,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,There was no tumor found.,,
,Heart and Lung exhibited the popcorn lung phenotype.,,
,No other organs were taken.,,
,No cell line attempted/no tumor chunk taken due to no tumor founded.,,
