Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44476,,
Mouse ID,27852-00,,
Disposition,Recurrent seizures,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,M,`,
Strain,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,
BD,44433,,
Sac Date,44476,,
Age at Sac,43,,
Injection Date,44434,,
Virus 1,RCAS Cre + RCAS IDH1R132H+RCAS PDGFA (08/26/21) RE/TT/AG),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,
Tissue collected,B,,
Zinc fixed?,No,,
Formalin fixed?,B,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Mouse had recurrent seizures on multiple days,,
,Appeared generally unwell,,
,Did not move unless touched,,
,"Enlarged brain, especially left hemisphere",,
,Very thin and fragile skull,,
,Slightly dark/cloudy appearance in left hemisphere,,
