Mouse Necropsy information sheet,...2,...3,...4
Initials,ND,,
Today's Date,42952,,
Mouse ID,15631,,
Disposition,"Normal disposition; sac'd due Sac, T1 - partially ulcerated b/w ears, T2 left side of head",,
Sex,Female,,
Strain,All Alleles,,
BD,42890,,
Sac Date,42952,,
Age at Sac,62,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42891,,
Virus 1,HA-Akt1,,
Virus 2,Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,42934,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor",,
Zinc fixed?,"Brain, lungs",,
Formalin fixed?,"Tumor, organs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Normal disposition; sac'd due Sac, T1 - partially ulcerated b/w ears, T2 left side of head",,
,Tumor located around upper shoulder/right scapular region,,
,Brain appeared normal and in tact.,,
,No Lung nodules,,
,1 cryogenics attempted for T1; 1 cell line attempted,,
