Mouse Necropsy information sheet,...2,...3,...4
Initials,MS,,
Today's Date,42814,,
Mouse ID,13954,,
Disposition,"Mouse had a primary tumor, large, spread over scapulas and had a small primary tumor over left eye.  It was found dead.",,
Sex,Male,,
Strain,All alleles,,
BD,42764,,
Sac Date,42814,,
Age at Sac,50,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42775,,
Virus 1,RCAS HA-Yb1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42807,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, spleen, kidneys.",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Had large mass in lungs.,,
,Brain was mush.,,
,Primary tumor collected.,,
