Mouse Necropsy information sheet,...2,...3,...4
Initials,TT,,
Today's Date,44386,,
Mouse ID,27151-00,,
Disposition,"Heavy breathing noticed 7/8/21, slow moving and enlarged head on 7/9/21",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,All Alleles,,
BD,44342,,
Sac Date,44386,,
Age at Sac,44,,
Injection Date,44344,,
Virus 1,RCAS myr-HA-AKT1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Small primary tumor above skull (t1) and internal tumor near heart/lungs (T2),,
Date Tumor reported,unnoticed,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,
Tissue collected,"Brain, Lungs, tumors",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, tumors",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,"Right lung was severely inflamed and swollen, looked to be about 3x the size of the left lung. Nodules on left lung noticed, as well as nodules in the periphery of the heart/lungs. 0.25cm tumor taken from lung periphery. Primary tumor above skull was relatively small, and seemed to be disseminated over a large area.",,
