Mouse Necropsy information sheet,...2
Initials,AG
Today's Date,43949
Mouse ID,22928-01
Disposition,Sacked due to tumor burden
Sex,Female
Strain,N-TVA; Ink4a f/f; pten f/f
BD,43893
Sac Date,43945
Age at Sac,56 days
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43894
Virus 1,RCAS-CRE
Virus 2,RCAS-pro-HBEGF
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,N::TVA;Cdkn2alox/lox;Ptenlox/lox
Tissue collected,"Brain, Tumor"
Zinc fixed ?,No
Formalin fixed?,Yes
Parafin Block #'s,HCI-20-22928
,
Slide #'s,1
H&E?,yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Palpable tumor on head noted
,Brain apperes Normal.
