Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,44109,,
Mouse ID,24455,,
Disposition,T1 -- Nape of neck,,
Disposition,T2 -- R-neck,,
Disposition,Reason for sac: Tumor size,,
Disposition,Normal behavior,,
Treatment,BRAFi (Encorafenib) + MEKi (Binimetinib) + FAKi (PF-573228),,
Sex,Female,`,
Strain,All Alleles,,
BD,44053,,
Sac Date,44109,,
Age at Sac,56,,
Injection Date,44054,,
Virus 1,RCAS myrAkt1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,"BRAFi (encorafenib), MEKi (benimetinib), FAKi (PF-573228)",,
Genotype,All Alleles,,
Tissue collected,"T1, T2, B, L",,
Zinc fixed?,No,,
Formalin fixed?,"T1, T2, B, L",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Skull intact,,
,All organs appeared normal,,
,"T1: Cryogenic (1 tube, 2 samples)",,
,"T2: Cryogenic (1 tube, 2 samples)",,
,Blood taken,,
