Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,44854,,,,,,,,
Mouse ID,31268-10 (paxalisib treatment),,,,,,,,
Disposition,"Barely breathing, not moving, hunching, >20% weight loss",,,,,,,,
Sex,Male,,,,,,,,
Strain,GFP,,,,,,,,
BD,44775,,,,,,,,
Sac Date,44854,,,,,,,,
Age at Sac,79,,,,,,,,
RCAS injection?,No,,,,,,,,
Injection route,Subcutaneous,,,,,,,,
Injection Date,44837,,,,,,,,
Virus 1,Y3.2 HA-AKT-E17K subQ. 10/3/22 TT,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,GFP,,,,,,,,
Tissue collected,"Brain, Lung, Tumor",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"BLI completed, mouse was not dosed prior to sac due to the poor health condition of the mouse",,,,,,,,
