Mouse Necropsy information sheet,...2
Initials,G. I. P.
Today's Date,43815
Mouse ID,18719-00
Disposition,"Found Dead, immediately necropsied"
Sex,Female
Strain,N-TVA; ATRX f/f; Ink f/f; Pten f/f
BD,43282
Sac Date,43815
Age at Sac,1yr 5m 15d
RCAS injection?,"TRE-3, IDHR182W + PDGFA+ T-O-T+Cre"
Injection route,
Injection Date,
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Not visibly evident of Dome Head
Date Tumor reported,
Dox Tx?,Yes
Duration of Dox Tx,??
Genotype,N-TVA; ATRX f/f; Ink f/f; Pten f/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
