Mouse Necropsy information sheet,...2,...3,...4
Initials,MS,,
Today's Date,42799,,
Mouse ID,13869,,
Disposition,normal,,
Sex,female,,
Strain,Braf wt,,
BD,42759,,
Sac Date,42799,,
Age at Sac,40,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42761,,
Virus 1,myr FLAG Akt1,,
Virus 2,Nras QR ires Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42793,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf wt,,
Tissue collected,"Primary tumor, brain, lungs",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Large tumor over left eye, ulcerated.  Sac'd due to tumor ulceration.",,
,Skull intact.,,
,No cryoperservation nor cell line attempted.,,
