Mouse Necropsy information sheet,...2
Initials,GP
Today's Date,42930
Mouse ID,NSG0122
Disposition,"Very lethargic; on the verge of death; ungroomed; mouse technician reported tumor on verge of ulcerating and concerns for survivability over weekend; T1- R flank, small"
Sex,Male
Strain,NSG
BD,42893
Sac Date,42930
Age at Sac,37
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,42896
Virus 1,7788 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42921
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, brain, lungs"
Zinc fixed?,Brain and lungs
Formalin fixed?,Tumor
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Very lethargic; on the verge of death; ungroomed; mouse technician reported tumor on verge of ulcerating and concerns for survivability over weekend; T1- R flank, small"
,Skull was very soft and brain was damaged during removal (hind brain was separated from rest).
,All other organs appeared normal.
,1 cell line and 1 cryogenic attempted.
