Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44018,,
Mouse ID,22734-10,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,,
Strain,Oligo Nation D,,
BD,43868,`,
Sac Date,44018,,
Age at Sac,150,,
Injection Date,43871,,
Virus 1,RCAS Cre + RCAS IDH1R132H-HA,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,no,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,N-TVA +;Ink4a/Arf f/f;H11LSL-Cas9 f/f;CIC f/f;Ptenf/f,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,Brain,,
Parafin Block #'s,HCI-20-22734 Br,,
,,,
Slide #'s,1,,
H&E?,Yes,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,brain looks normal,,
,,,
,,,
