Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,44201,,
Mouse ID,25292,,
Disposition,T1 - neck extending to right ear,,
Disposition,T2 - left ear,,
Disposition,Reason for sac: tumor size,,
Disposition,Normal behavior,,
Treatment,,,
Sex,Male,`,
Strain,All Alleles,,
BD,44145,,
Sac Date,44201,,
Age at Sac,56,,
Injection Date,44147,,
Virus 1,RCAS myrAkt1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,All Alleles,,
Tissue collected,"T1, T2, B, L",,
Zinc fixed?,No,,
Formalin fixed?,"T1, T2, B, L",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Skull intact,,
,All organs appeared normal,,
