Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,GP,,,,,,,,
Today's Date,45049,,,,,,,,
Mouse ID,32843-00,,,,,,,,
Disposition,End date,,,,,,,,
Sex,M,,,,,,,,
Strain,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,,,,,,,,
BD,44897,,,,,,,,
Sac Date,45049,,,,,,,,
Age at Sac,152,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Subcutaneous behind ears bilaterally,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,RCAS-Cre,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,,,,,,,,
Tissue collected,"Brain, liver, lungs",,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,Mouse appeared healthy. Sac'd for experimental end date. No abnormal tissue noted.,,,,,,,,
