Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42613,,
Mouse ID,10817,,
Disposition,"Found dead; T1- R side; T2- L ear, small",,
Sex,Female,,
Strain,All Alleles,,
BD,42534,,
Sac Date,42613,,
Age at Sac,79,,
RCAN injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42537,,
Virus 1,RCAS HA-Akt2 E17K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Found dead; T1- R side; T2- L ear, small",,
,Organs had severe necrosis,,
,"Heart, lungs and brain were collected for IHC; brain was mushy but intact, lungs looked fine.",,
,No cryogenics or cell lines were attempted,,
,Heart and Lungs were lost while changing from formalin to ethanol,,
