Mouse Necropsy information sheet,...2
Initials,SH
Today's Date,42622
Mouse ID,09928-03
Disposition,Experimental endpoint
Sex,F
Strain,N-TVA; pten f/f; Ink4a f/f
BD,42447
Sac Date,42622
Age at Sac,24 weeks
RCAS injection?,TzTOC-BRAF pTRIPZ BRAF CMV TetOff p2A Cre
Injection route,Intercranial
Injection Date,42449
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
