Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43129
Mouse ID,NSG 00170
Disposition,Normal disposition; sac'd due to tumor size; T1 - midback
Sex,Male
Strain,NSG
BD,43031
Sac Date,43129
Age at Sac,98
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,43034
Virus 1,MTG1 (cell line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,yes (1)
Date Tumor reported,43456
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, brain and lungs"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
,Normal disposition; sac'd due to tumor size; T1 - midback
,Organs appeared normal otherwise
,3 cryos and 1 cell line attempted
,No lung nodules
