Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,CM,,,,,,,,
Today's Date,44917,,,,,,,,
Mouse ID,32159-10,,,,,,,,
Disposition,"Scruffy, lost more than 20% of starting weight, medium sized tumor",,,,,,,,
Sex,Female,,,,,,,,
Strain,GFP,,,,,,,,
BD,44844,,,,,,,,
Sac Date,44916,,,,,,,,
Age at Sac,72,,,,,,,,
RCAS injection?,,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,44907,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,GFP,,,,,,,,
Tissue collected,"Brain, Lung, Heart, Liver, Tumor",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,,,,,,,,,
