Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43200
Mouse ID,NSG 00213
Disposition,Sac'd due to difficulty breathing. T1 - Liver
Sex,Female
Strain,NSG
BD,43129
Sac Date,43199
Age at Sac,70
RCAS injection?,No
Injection route,Tail vein
Injection Date,43168
Virus 1,9678 (Tail vein)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (1)
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,"Brain, lungs, tumor"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Sac'd due to difficulty breathing. T1 - Liver
,Brain and skull in tact.
,Brain appeared slightly enlarged but normal.
,Lung nodules present in chest cavity
,Liver w/tumor was fixed in formalin
