Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,TT,,,,,,,,
Today's Date,45049,,,,,,,,
Mouse ID,34151-01,,,,,,,,
Disposition,"Small tumor, hind legs were paralyzed, mouse was dragging itself around on its side, tumor measured ~2x2mm",,,,,,,,
Sex,M,,,,,,,,
Strain,All Alleles,,,,,,,,
BD,45007,,,,,,,,
Sac Date,45049,,,,,,,,
Age at Sac,42,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Near ear,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,RCAS-Cre,,,,,,,,
Virus 2,RCAS-NCAM,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,All Alleles,,,,,,,,
Tissue collected,"Tumor, lungs, brain, liver",,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"The cranial cavity was really bloody, lungs looked normal, couldn't find evidence of tumor on the spine",,,,,,,,
