Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43196
Mouse ID,NSG00220
Disposition,Normal disposition; sac'd due to ulcerated growth (tumor?) at base of tail
Sex,Male
Strain,NSG
BD,43129
Sac Date,43196
Age at Sac,67
RCAS injection?,Yes
Injection route,tail vein
Injection Date,43173
Virus 1,5610 (cell line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (tail)
Date Tumor reported,43196
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, Brain, Lungs"
Zinc fixed?,Brain & Lungs
Formalin fixed?,Tumor
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Normal disposition; sac'd due to ulcerated growth (tumor?) at base of tail
,Skull and brain were intact
,Small lung nodule
,Other organs appeared normal
,Growth (tumor?) was not harvested
