Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,43997,,
Mouse ID,23473,,
Disposition,T1 -- Right shouler -- not 100% sure this is a primary (very small & will need to assess via histology),,
Disposition,Found Dead,,
Treatment,,,
Sex,Female,,
Strain,All alleles x pgc1a,,
BD,43940,`,
Sac Date,43997,,
Age at Sac,57,,
Injection Date,43942,,
Virus 1,RCAS Cre,,
Virus 2,RCAS myrAkt1,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,Braf ca; Cdkn2a f/f; Pten f/f; Pgc1a f/f,,
Tissue collected,"Brain, lungs, T1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lungs, T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Skull intact but very mushy,,
,2 lung lobes recovered but severe necrosis,,
,Other ograns suffered from necrosis as well,,
,T1 too small for cryogenic,,
