Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,43805,,
Mouse ID,21614,,
Disposition,T1 -- Top of skull,,
Disposition,T1 invasion through skull,,
,Sac'd due to tumor size and lethargy,,
Disposition,,,
Treatment,,,
Sex,Male,,
Strain,All Alleles,,
BD,43758,,
Sac Date,43805,,
Age at Sac,47,,
Injection Date,43759,,
Virus 1,RCAS myrAkt1 & Cre (2:1 ratio),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,All Alleles,,
Tissue collected,"T1, B, L",,
Zinc fixed?,No,,
Formalin fixed?,"T1, B, L",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Skull was not intact,,
,T1 invasion through apical portion of skull and into brain,,
,Brain was deformed due to T1 invasion,,
,Normal organs besides brain,,
,1 cryogenic,,
