Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44433,,
Mouse ID,26297,,
Disposition,No tumor noted,,
Disposition,Sac'd for enddate,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA:Brafca/ca;Tyr/+,,
BD,44248,,
Sac Date,44433,,
Age at Sac,185,,
Injection Date,44250,,
Virus 1,RCAS Cre + RCAS myr-HA-Akt1 (GP 2/23/21),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,NA,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA:Brafca/ca;Tyr/+,,
Tissue collected,"B,L",,
Zinc fixed?,No,,
Formalin fixed?,"B,L",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Sac'd for health reasons,,
,"Brain, lungs, and other organs appeared normal",,
,No evidence of tumor,,
