Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,43789,,
Mouse ID,21231,,
Disposition,T1 -- Left Shoulder,,
Disposition,Sac'd due to tumor volume,,
,,,
Disposition,,,
Treatment,,,
Sex,Male,,
Strain,All Alleles x PGC1a,,
BD,43720,,
Sac Date,43789,,
Age at Sac,69,,
Injection Date,43724,,
Virus 1,RCAS Cre,,
Virus 2,RCAS myrAkt1,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,All Alleles x PGC1a,,
Tissue collected,"Brain, lungs, T1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lungs, T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,None visible,,
Additional comments,Skull intact,,
,All organs appeared normal,,
